Year,Total landing (ton),Total Effort (no of boats,51% of Effort,CPUE (tonnes/boat)
1988,8360,"8,783",4479.33,1.866
1989,3486,"9,931",5064.81,0.688
1990,4518,"9,599",4895.49,0.923
1991,3399,"10,768",5491.68,0.619
1992,5053,"11,680",5956.8,0.848
1993,4922,"11,751",5993.01,0.821
1994,5770,"11,742",5988.42,0.963
1995,5090,"11,732",5983.32,0.851
1996,4692,"11,732",5983.32,0.784
1997,4322,"11,746",5990.46,0.721
1998,4016,"12,284",6264.84,0.641
1999,6098,"12,585",6418.35,0.950
2000,4419,"13,248",6756.48,0.654
2001,3976,13464,6866.64,0.579
2002,8776,13652,6962.52,1.260
2003,5913,13831,7053.81,0.838
2004,8200,13943,7110.93,1.153
2005,6842,13560,6915.6,0.989
2006,6185,13706,6990.06,0.885
2007,6473,13826,7051.26,0.918
2008,7408,14796,7545.96,0.982
2009,10282,14330,7308.3,1.407
2010,9864,18031,9195.81,1.073
2011,4174,1827,931.77,4.479
2012,3352,19245,9814.95,0.342
2013,5131,20630,10521.3,0.488
2014,6942,21616,11024.16,0.630
2015,7934,22237,11340.87,0.700
2016,9239,22720,11587.2,0.797
2017,8278,23232,11848.32,0.699
2018,11141,23726,12100.26,0.921
2019,8662,24336,12411.36,0.698
2020,9310,24349,12417.99,0.750
2021,16525,25414,12961.14,1.275